2,6,1,13,3,9,4,1,2,2174,0,40,1,39
2,2,1,13,1,5,3,1,2,0,0,13,1,50
2,1,4,9,2,7,4,1,2,0,0,40,1,38
2,1,3,7,1,7,3,5,2,0,0,40,1,53
2,1,1,13,1,6,1,5,1,0,0,40,13,28
2,1,11,14,1,5,1,1,1,0,0,40,1,37
2,1,8,5,6,3,4,5,1,0,0,16,19,49
1,2,4,9,1,5,3,1,2,0,0,45,1,52
1,1,11,14,3,6,4,1,1,14084,0,50,1,31
1,1,1,13,1,5,3,1,2,5178,0,40,1,42
1,1,2,10,1,5,3,5,2,0,0,80,1,37
1,6,1,13,1,6,3,2,2,0,0,40,8,30
2,1,1,13,3,9,2,1,1,0,0,30,1,23
2,1,6,12,3,4,4,5,2,0,0,50,1,32
1,1,7,11,1,2,3,2,2,0,0,40,-1,40
2,1,9,4,1,11,3,3,2,0,0,45,21,34
2,2,4,9,3,10,2,1,2,0,0,35,1,25
2,1,4,9,3,8,6,1,2,0,0,40,1,32
2,1,3,7,1,4,3,1,2,0,0,50,1,38
1,2,11,14,2,5,6,1,1,0,0,45,1,43
1,1,14,16,1,6,3,1,2,0,0,60,1,40
2,1,4,9,4,3,6,5,1,0,0,20,1,54
2,4,8,5,1,10,3,5,2,0,0,40,1,35
2,1,3,7,1,11,3,1,2,0,2042,40,1,43
2,1,4,9,2,1,6,1,1,0,0,40,1,59
1,5,1,13,1,1,3,1,2,0,0,40,1,56
2,1,4,9,3,2,2,1,2,0,0,40,1,19
1,-1,2,10,1,-1,3,2,2,0,0,60,11,54
2,1,4,9,2,5,4,1,2,0,0,80,1,39
2,1,4,9,1,2,3,1,2,0,0,40,1,49
2,5,6,12,3,13,4,1,2,0,0,52,1,23
2,1,2,10,3,4,2,5,2,0,0,44,1,20
2,1,1,13,2,5,2,1,2,0,1408,40,1,45
2,4,2,10,1,9,2,1,2,0,0,40,1,30
2,6,2,10,1,3,3,5,2,0,0,15,1,22
2,1,3,7,3,8,6,1,2,0,0,40,4,48
2,1,2,10,3,8,2,1,2,0,0,40,1,21
2,1,4,9,7,9,1,1,1,0,0,25,1,19
1,1,2,10,1,4,3,1,2,0,0,38,-1,31
2,2,6,12,1,6,3,1,2,0,0,40,1,48
2,1,8,5,1,8,3,1,2,0,0,43,1,31
2,2,1,13,1,6,3,1,2,0,0,40,1,53
2,1,1,13,1,1,3,1,2,0,0,50,1,24
2,1,4,9,4,9,6,1,1,0,0,40,1,49
2,1,4,9,3,7,4,1,2,0,0,35,1,25
1,4,1,13,1,6,3,5,2,0,0,40,1,57
2,1,4,9,1,8,3,1,2,0,0,38,1,53
2,1,11,14,2,5,6,1,1,0,0,40,1,44
